"GroupName","MemberSamAccountName"
"DG_CASSOVIA_PREDAJNE","p4003"
"DG_CASSOVIA_PREDAJNE","p3007"
"DG_CASSOVIA_PREDAJNE","p4204"
"DG_CASSOVIA_PREDAJNE","p3004"
"DG_CASSOVIA_PREDAJNE","P1003"
"DG_CASSOVIA_PREDAJNE","p4206"
"DG_CASSOVIA_PREDAJNE","p1007"
"DG_CASSOVIA_PREDAJNE","p1008"
"DG_CASSOVIA_PREDAJNE","p8007"
"DG_CASSOVIA_PREDAJNE","p1013"
"DG_CASSOVIA_PREDAJNE","p7809"
"DG_CASSOVIA_PREDAJNE","p5204"
"DG_CASSOVIA_PREDAJNE","p6004"
"DG_CASSOVIA_PREDAJNE","p4717"
"DG_CASSOVIA_PREDAJNE","p1204"
"DG_CASSOVIA_PREDAJNE","p5003"
"DG_CASSOVIA_PREDAJNE","p5004"
"DG_CASSOVIA_PREDAJNE","p5002"
"DG_CASSOVIA_PREDAJNE","p6204"
"DG_CASSOVIA_PREDAJNE","p7004"
"DG_CASSOVIA_PREDAJNE","p8902"
"DG_CASSOVIA_PREDAJNE","p8009"
"DG_CASSOVIA_PREDAJNE","p4718"
"DG_CASSOVIA_PREDAJNE","p9400"
"DG_CASSOVIA_PREDAJNE","p7505"
"DG_CASSOVIA_PREDAJNE","p4006"
"DG_CASSOVIA_PREDAJNE","p8508"
"DG_CASSOVIA_PREDAJNE","p8509"
"DG_CASSOVIA_PREDAJNE","p8010"
"G_M365_F3","p8505"
"G_M365_F3","p6701"
"G_M365_F3","p6201"
"G_M365_F3","p7203"
"G_M365_F3","p7502"
"G_M365_F3","p4701"
"G_M365_F3","p8504"
"G_M365_F3","p8702"
"G_M365_F3","p4709"
"G_M365_F3","p4706"
"G_M365_F3","p8001"
"G_M365_F3","p7101"
"G_M365_F3","p7202"
"G_M365_F3","p4710"
"G_M365_F3","p7504"
"G_M365_F3","p8004"
"G_M365_F3","p6003"
"G_M365_F3","P8901"
"G_M365_F3","p7802"
"G_M365_F3","p1202"
"G_M365_F3","P4703"
"G_M365_F3","p7801"
"G_M365_F3","p3202"
"G_M365_F3","p8005"
"G_M365_F3","p4201"
"G_M365_F3","p4202"
"G_M365_F3","p4714"
"G_M365_F3","p7501"
"G_M365_F3","p4713"
"G_M365_F3","p4711"
"G_M365_F3","p4705"
"G_M365_F3","p2202"
"G_M365_F3","p6001"
"G_M365_F3","P8506"
"G_M365_F3","p6002"
"G_M365_F3","p4707"
"G_M365_F3","p3201"
"G_M365_F3","p1201"
"G_M365_F3","p4702"
"G_M365_F3","P6202"
"G_M365_F3","p4708"
"G_M365_F3","p4704"
"G_M365_F3","p6101"
"G_M365_F3","p1203"
"G_M365_F3","p2201"
"G_M365_F3","p8503"
"G_M365_F3","p5202"
"G_M365_F3","p5201"
"G_M365_F3","P6502"
"G_M365_F3","p8703"
"G_M365_F3","p7201"
"G_M365_F3","p8102"
"G_M365_F3","p4712"
"G_M365_F3","p8003"
"G_M365_F3","p2001"
"G_M365_F3","P7805"
"G_M365_F3","P7804"
"G_M365_F3","p3001"
"G_M365_F3","p7808"
"G_M365_F3","P8006"
"G_M365_F3","p4203"
"G_M365_F3","p7806"
"G_M365_F3","p6503"
"G_M365_F3","p7803"
"G_M365_F3","p7807"
"G_M365_F3","P7204"
"G_M365_F3","p5203"
"G_M365_F3","p6203"
"G_M365_F3","p3003"
"G_M365_F3","p1005"
"G_M365_F3","p2204"
"G_M365_F3","p4001"
"G_M365_F3","p2203"
"G_M365_F3","p4003"
"G_M365_F3","p3007"
"G_M365_F3","p4204"
"G_M365_F3","p3004"
"G_M365_F3","P1003"
"G_M365_F3","p4206"
"G_M365_F3","p1007"
"G_M365_F3","p1008"
"G_M365_F3","p8007"
"G_M365_F3","p1013"
"G_M365_F3","p7809"
"G_M365_F3","p5204"
"G_M365_F3","p6004"
"G_M365_F3","p4717"
"G_M365_F3","p1204"
"G_M365_F3","p5003"
"G_M365_F3","p5004"
"G_M365_F3","p5002"
"G_M365_F3","p6204"
"G_M365_F3","p7004"
"G_M365_F3","p8902"
"G_M365_F3","p8009"
"G_M365_F3","p4718"
"G_M365_F3","p9400"
"G_M365_F3","p7505"
"G_M365_F3","p4006"
"G_M365_F3","p8508"
"G_M365_F3","p8509"
"G_M365_F3","p8010"
"G_MUB_All","p8505"
"G_MUB_All","p6701"
"G_MUB_All","p6201"
"G_MUB_All","p7203"
"G_MUB_All","p7502"
"G_MUB_All","p4701"
"G_MUB_All","p8504"
"G_MUB_All","p8702"
"G_MUB_All","p4709"
"G_MUB_All","p4706"
"G_MUB_All","p8001"
"G_MUB_All","p7101"
"G_MUB_All","p7202"
"G_MUB_All","p4710"
"G_MUB_All","p7504"
"G_MUB_All","p8004"
"G_MUB_All","p6003"
"G_MUB_All","P8901"
"G_MUB_All","p7802"
"G_MUB_All","p1202"
"G_MUB_All","P4703"
"G_MUB_All","p7801"
"G_MUB_All","p3202"
"G_MUB_All","p8005"
"G_MUB_All","p4201"
"G_MUB_All","p4202"
"G_MUB_All","p4714"
"G_MUB_All","p7501"
"G_MUB_All","p4713"
"G_MUB_All","p4711"
"G_MUB_All","p4705"
"G_MUB_All","p2202"
"G_MUB_All","p6001"
"G_MUB_All","P8506"
"G_MUB_All","p6002"
"G_MUB_All","p4707"
"G_MUB_All","p3201"
"G_MUB_All","p1201"
"G_MUB_All","p4702"
"G_MUB_All","P6202"
"G_MUB_All","p4708"
"G_MUB_All","p4704"
"G_MUB_All","p6101"
"G_MUB_All","p1203"
"G_MUB_All","p2201"
"G_MUB_All","p8503"
"G_MUB_All","p5202"
"G_MUB_All","p5201"
"G_MUB_All","P6502"
"G_MUB_All","p8703"
"G_MUB_All","p7201"
"G_MUB_All","p8102"
"G_MUB_All","p4712"
"G_MUB_All","p8003"
"G_MUB_All","p2001"
"G_MUB_All","P7805"
"G_MUB_All","P7804"
"G_MUB_All","p3001"
"G_MUB_All","p7808"
"G_MUB_All","P8006"
"G_MUB_All","p4203"
"G_MUB_All","p7806"
"G_MUB_All","p6503"
"G_MUB_All","p7803"
"G_MUB_All","p7807"
"G_MUB_All","P7204"
"G_MUB_All","p5203"
"G_MUB_All","p6203"
"G_MUB_All","p3003"
"G_MUB_All","p1005"
"G_MUB_All","p2204"
"G_MUB_All","p4001"
"G_MUB_All","p2203"
"G_MUB_All","p4003"
"G_MUB_All","p3007"
"G_MUB_All","p4204"
"G_MUB_All","p3004"
"G_MUB_All","P1003"
"G_MUB_All","p4206"
"G_MUB_All","p1007"
"G_MUB_All","p1008"
"G_MUB_All","p8007"
"G_MUB_All","p1013"
"G_MUB_All","p7809"
"G_MUB_All","p5204"
"G_MUB_All","p6004"
"G_MUB_All","p4717"
"G_MUB_All","p1204"
"G_MUB_All","p5003"
"G_MUB_All","p5004"
"G_MUB_All","p5002"
"G_MUB_All","p6204"
"G_MUB_All","p7004"
"G_MUB_All","p8902"
"G_MUB_All","p8009"
"G_MUB_All","p4718"
"G_MUB_All","p9400"
"G_MUB_All","p7505"
"G_MUB_All","p4006"
"G_MUB_All","p8508"
"G_MUB_All","p8509"
"G_MUB_All","p8010"
"Mäsiarstvo u býka zamestnanci","p8505"
"Mäsiarstvo u býka zamestnanci","p6701"
"Mäsiarstvo u býka zamestnanci","p6201"
"Mäsiarstvo u býka zamestnanci","p6401"
"Mäsiarstvo u býka zamestnanci","p7203"
"Mäsiarstvo u býka zamestnanci","p7502"
"Mäsiarstvo u býka zamestnanci","p4701"
"Mäsiarstvo u býka zamestnanci","p8504"
"Mäsiarstvo u býka zamestnanci","p8702"
"Mäsiarstvo u býka zamestnanci","p4709"
"Mäsiarstvo u býka zamestnanci","p4706"
"Mäsiarstvo u býka zamestnanci","p8001"
"Mäsiarstvo u býka zamestnanci","p7101"
"Mäsiarstvo u býka zamestnanci","p8103"
"Mäsiarstvo u býka zamestnanci","p7202"
"Mäsiarstvo u býka zamestnanci","p4710"
"Mäsiarstvo u býka zamestnanci","p7504"
"Mäsiarstvo u býka zamestnanci","p8004"
"Mäsiarstvo u býka zamestnanci","p6003"
"Mäsiarstvo u býka zamestnanci","P8901"
"Mäsiarstvo u býka zamestnanci","p7802"
"Mäsiarstvo u býka zamestnanci","p1202"
"Mäsiarstvo u býka zamestnanci","P4703"
"Mäsiarstvo u býka zamestnanci","p7801"
"Mäsiarstvo u býka zamestnanci","p3202"
"Mäsiarstvo u býka zamestnanci","p8005"
"Mäsiarstvo u býka zamestnanci","p4201"
"Mäsiarstvo u býka zamestnanci","p4202"
"Mäsiarstvo u býka zamestnanci","p4714"
"Mäsiarstvo u býka zamestnanci","p7501"
"Mäsiarstvo u býka zamestnanci","p4713"
"Mäsiarstvo u býka zamestnanci","p4711"
"Mäsiarstvo u býka zamestnanci","p4705"
"Mäsiarstvo u býka zamestnanci","p2202"
"Mäsiarstvo u býka zamestnanci","p6001"
"Mäsiarstvo u býka zamestnanci","P8506"
"Mäsiarstvo u býka zamestnanci","p6002"
"Mäsiarstvo u býka zamestnanci","p7005"
"Mäsiarstvo u býka zamestnanci","p4707"
"Mäsiarstvo u býka zamestnanci","p3201"
"Mäsiarstvo u býka zamestnanci","p1201"
"Mäsiarstvo u býka zamestnanci","p4702"
"Mäsiarstvo u býka zamestnanci","P6202"
"Mäsiarstvo u býka zamestnanci","p4708"
"Mäsiarstvo u býka zamestnanci","p4704"
"Mäsiarstvo u býka zamestnanci","p6101"
"Mäsiarstvo u býka zamestnanci","p1203"
"Mäsiarstvo u býka zamestnanci","p2201"
"Mäsiarstvo u býka zamestnanci","p8503"
"Mäsiarstvo u býka zamestnanci","p5202"
"Mäsiarstvo u býka zamestnanci","p5201"
"Mäsiarstvo u býka zamestnanci","P6502"
"Mäsiarstvo u býka zamestnanci","p8703"
"Mäsiarstvo u býka zamestnanci","p7201"
"Mäsiarstvo u býka zamestnanci","p8102"
"Mäsiarstvo u býka zamestnanci","p4712"
"Mäsiarstvo u býka zamestnanci","p8003"
"Mäsiarstvo u býka zamestnanci","P7702"
"Mäsiarstvo u býka zamestnanci","p2001"
"Mäsiarstvo u býka zamestnanci","P7805"
"Mäsiarstvo u býka zamestnanci","P7804"
"Mäsiarstvo u býka zamestnanci","p3001"
"Mäsiarstvo u býka zamestnanci","p7808"
"Mäsiarstvo u býka zamestnanci","P8006"
"Mäsiarstvo u býka zamestnanci","p4203"
"Mäsiarstvo u býka zamestnanci","p7806"
"Mäsiarstvo u býka zamestnanci","p6503"
"Mäsiarstvo u býka zamestnanci","p7803"
"Mäsiarstvo u býka zamestnanci","p7807"
"Mäsiarstvo u býka zamestnanci","P7204"
"Mäsiarstvo u býka zamestnanci","p5203"
"Mäsiarstvo u býka zamestnanci","p6203"
"Mäsiarstvo u býka zamestnanci","p3003"
"Mäsiarstvo u býka zamestnanci","p1005"
"Mäsiarstvo u býka zamestnanci","p2204"
"Mäsiarstvo u býka zamestnanci","p4001"
"Mäsiarstvo u býka zamestnanci","p2203"
"Mäsiarstvo u býka zamestnanci","p4003"
"Mäsiarstvo u býka zamestnanci","p3007"
"Mäsiarstvo u býka zamestnanci","p4204"
"Mäsiarstvo u býka zamestnanci","p3004"
"Mäsiarstvo u býka zamestnanci","P1003"
"Mäsiarstvo u býka zamestnanci","p4206"
"Mäsiarstvo u býka zamestnanci","p1007"
"Mäsiarstvo u býka zamestnanci","p1008"
"Mäsiarstvo u býka zamestnanci","p8007"
"Mäsiarstvo u býka zamestnanci","p1013"
"Mäsiarstvo u býka zamestnanci","p7809"
"Mäsiarstvo u býka zamestnanci","p5204"
"Mäsiarstvo u býka zamestnanci","p6004"
"Mäsiarstvo u býka zamestnanci","p4717"
"Mäsiarstvo u býka zamestnanci","p1204"
"Mäsiarstvo u býka zamestnanci","p5003"
"Mäsiarstvo u býka zamestnanci","p5004"
"Mäsiarstvo u býka zamestnanci","p5002"
"Mäsiarstvo u býka zamestnanci","p6204"
"Mäsiarstvo u býka zamestnanci","p7004"
"Mäsiarstvo u býka zamestnanci","p8902"
"Mäsiarstvo u býka zamestnanci","p8009"
"Mäsiarstvo u býka zamestnanci","p4718"
"Mäsiarstvo u býka zamestnanci","p9400"
"Mäsiarstvo u býka zamestnanci","p7505"
"Mäsiarstvo u býka zamestnanci","p4006"
"Mäsiarstvo u býka zamestnanci","p8508"
"Mäsiarstvo u býka zamestnanci","p8509"
"Mäsiarstvo u býka zamestnanci","p8010"
"MuB-BA-Novák","p1202"
"MuB-BA-Novák","p1201"
"MuB-BA-Novák","p1203"
"MuB-BA-Novák","p2001"
"MuB-BA-Novák","p1005"
"MuB-BA-Novák","p2204"
"MuB-BA-Novák","P1003"
"MuB-BA-Novák","p1007"
"MuB-BA-Novák","p1008"
"MuB-BA-Novák","p1013"
"MuB-BA-Novák","p1204"
"MuB-predajne","p8505"
"MuB-predajne","p6701"
"MuB-predajne","p6201"
"MuB-predajne","p7203"
"MuB-predajne","p7502"
"MuB-predajne","p4701"
"MuB-predajne","p8504"
"MuB-predajne","p8702"
"MuB-predajne","p4709"
"MuB-predajne","p4706"
"MuB-predajne","p8001"
"MuB-predajne","p7101"
"MuB-predajne","p7202"
"MuB-predajne","p4710"
"MuB-predajne","p7504"
"MuB-predajne","p8004"
"MuB-predajne","p6003"
"MuB-predajne","P8901"
"MuB-predajne","p7802"
"MuB-predajne","p1202"
"MuB-predajne","P4703"
"MuB-predajne","p7801"
"MuB-predajne","p3202"
"MuB-predajne","p8005"
"MuB-predajne","p4201"
"MuB-predajne","p4202"
"MuB-predajne","p4714"
"MuB-predajne","p7501"
"MuB-predajne","p4713"
"MuB-predajne","p4711"
"MuB-predajne","p4705"
"MuB-predajne","p2202"
"MuB-predajne","p6001"
"MuB-predajne","P8506"
"MuB-predajne","p6002"
"MuB-predajne","p7005"
"MuB-predajne","p4707"
"MuB-predajne","p3201"
"MuB-predajne","p1201"
"MuB-predajne","p4702"
"MuB-predajne","P6202"
"MuB-predajne","p4708"
"MuB-predajne","p4704"
"MuB-predajne","p6101"
"MuB-predajne","p1203"
"MuB-predajne","p2201"
"MuB-predajne","p8503"
"MuB-predajne","p5202"
"MuB-predajne","p5201"
"MuB-predajne","P6502"
"MuB-predajne","p8703"
"MuB-predajne","p7201"
"MuB-predajne","p8102"
"MuB-predajne","p4712"
"MuB-predajne","p8003"
"MuB-predajne","p2001"
"MuB-predajne","P7805"
"MuB-predajne","P7804"
"MuB-predajne","p3001"
"MuB-predajne","p7808"
"MuB-predajne","P8006"
"MuB-predajne","p4203"
"MuB-predajne","p7806"
"MuB-predajne","p6503"
"MuB-predajne","p7803"
"MuB-predajne","p7807"
"MuB-predajne","P7204"
"MuB-predajne","p5203"
"MuB-predajne","p6203"
"MuB-predajne","p3003"
"MuB-predajne","p1005"
"MuB-predajne","p2204"
"MuB-predajne","p4001"
"MuB-predajne","p2203"
"MuB-predajne","p4003"
"MuB-predajne","p3007"
"MuB-predajne","p4204"
"MuB-predajne","p3004"
"MuB-predajne","P1003"
"MuB-predajne","p4206"
"MuB-predajne","p1007"
"MuB-predajne","p1008"
"MuB-predajne","p8007"
"MuB-predajne","p1013"
"MuB-predajne","p7809"
"MuB-predajne","p5204"
"MuB-predajne","p6004"
"MuB-predajne","p4717"
"MuB-predajne","p1204"
"MuB-predajne","p5003"
"MuB-predajne","p5004"
"MuB-predajne","p5002"
"MuB-predajne","p6204"
"MuB-predajne","p7004"
"MuB-predajne","p8902"
"MuB-predajne","p8009"
"MuB-predajne","p4718"
"MuB-predajne","p9400"
"MuB-predajne","p7505"
"MuB-predajne","p4006"
"MuB-predajne","p8508"
"MuB-predajne","p8509"
"MuB-predajne","p8010"
"MuB.Desiatnik","p8505"
"MuB.Desiatnik","p8504"
"MuB.Desiatnik","p8004"
"MuB.Desiatnik","P8901"
"MuB.Desiatnik","p8005"
"MuB.Desiatnik","P8506"
"MuB.Desiatnik","p8503"
"MuB.Desiatnik","p8703"
"MuB.Desiatnik","p8102"
"MuB.Desiatnik","p8003"
"MuB.Desiatnik","p8007"
"MuB.Desiatnik","p8902"
"MuB.Desiatnik","p8009"
"MuB.Desiatnik","p9400"
"MuB.Desiatnik","p7505"
"MuB.Desiatnik","p4006"
"MuB.Desiatnik","p8508"
"MuB.Desiatnik","p8509"
"MuB.Desiatnik","p8010"
"MuB.DV","p6701"
"MuB.DV","p6201"
"MuB.DV","p8702"
"MuB.DV","p6003"
"MuB.DV","p6001"
"MuB.DV","p6002"
"MuB.DV","P6202"
"MuB.DV","p6101"
"MuB.DV","P6502"
"MuB.DV","p6503"
"MuB.DV","p6004"
"MuB.EM","p7203"
"MuB.EM","p7502"
"MuB.EM","p8001"
"MuB.EM","p7101"
"MuB.EM","p5202"
"MuB.EM","p7201"
"MuB.EM","P8006"
"MuB.EM","P7204"
"MuB.EM","p5003"
"MuB.EM","p5004"
"MuB.EM","p7004"
"MuB.EM","p7505"
"MuB.EM","p8508"
"MuB.EM","p8509"
"MuB.ES","p1202"
"MuB.ES","p1201"
"MuB.ES","p1203"
"MuB.ES","p1005"
"MuB.ES","p2204"
"MuB.ES","P1003"
"MuB.ES","p1007"
"MuB.ES","p1008"
"MuB.ES","p1013"
"MuB.ES","p1204"
"MuB.JB","p4701"
"MuB.JB","p4702"
"MuB.JB","p2201"
"MuB.JL","p7202"
"MuB.JL","p7504"
"MuB.JL","p7802"
"MuB.JL","p7801"
"MuB.JL","p7501"
"MuB.JL","P7805"
"MuB.JL","P7804"
"MuB.JL","p7808"
"MuB.JL","p7806"
"MuB.JL","p7803"
"MuB.JL","p7807"
"MuB.JL","p7809"
"MuB.KK","p8505"
"MuB.KK","p8504"
"MuB.KK","p8004"
"MuB.KK","P8901"
"MuB.KK","p8005"
"MuB.KK","P8506"
"MuB.KK","p8503"
"MuB.KK","p8703"
"MuB.KK","p8102"
"MuB.KK","p8003"
"MuB.KK","p8902"
"MuB.KK","p8009"
"MuB.KK","p9400"
"MuB.KK","p7505"
"MuB.KK","p4006"
"MuB.KK","p8508"
"MuB.KK","p8509"
"MuB.KK","p8010"
"MuB.MD","p1202"
"MuB.MD","p1201"
"MuB.MD","p1203"
"MuB.MD","p1005"
"MuB.MD","P1003"
"MuB.MD","p1007"
"MuB.MD","p1008"
"MuB.MD","p1204"
"MuB.PM","p3202"
"MuB.PM","p3201"
"MuB.PM","p5201"
"MuB.PM","p5203"
"MuB.PM","p3003"
"MuB.PM","p3007"
"MuB.PM","p3004"
"MuB.PM","p5204"
"MuB.RK","p6701"
"MuB.RK","p6201"
"MuB.RK","p8702"
"MuB.RK","p6003"
"MuB.RK","p6001"
"MuB.RK","p6002"
"MuB.RK","P6202"
"MuB.RK","p6101"
"MuB.RK","P6502"
"MuB.RK","p6503"
"MuB.RK","p6004"
"MuB.RK","p6204"
"MuB.RS","p4706"
"MuB.RS","p4202"
"MuB.RS","p4707"
"MuB.RS","p4708"
"MuB.RS","p4704"
"MuB.RS","p6203"
"MuB.RS","p4001"
"MuB.RS","p4003"
"MuB.RS","p4204"
"MuB.RS","p6204"
"MuB.VK","p2204"
"MuB.VK","p2203"
"MuB.VK","p4204"
"skupina3@masiarstvoubyka.sk","p6701"
"skupina3@masiarstvoubyka.sk","p6201"
"skupina3@masiarstvoubyka.sk","p8702"
"skupina3@masiarstvoubyka.sk","p6003"
"skupina3@masiarstvoubyka.sk","p6001"
"skupina3@masiarstvoubyka.sk","p6002"
"skupina3@masiarstvoubyka.sk","P6202"
"skupina3@masiarstvoubyka.sk","p6101"
"skupina3@masiarstvoubyka.sk","p5202"
"skupina3@masiarstvoubyka.sk","p6503"
"skupina3@masiarstvoubyka.sk","p6004"
"skupina3@masiarstvoubyka.sk","p5003"
"skupina3@masiarstvoubyka.sk","p5004"
"skupina3@masiarstvoubyka.sk","p5002"
"skupina3@masiarstvoubyka.sk","p7004"
"skupina4@masiarstvoubyka.sk","p7203"
"skupina4@masiarstvoubyka.sk","p7502"
"skupina4@masiarstvoubyka.sk","p8001"
"skupina4@masiarstvoubyka.sk","p8503"
"skupina4@masiarstvoubyka.sk","p7201"
"skupina4@masiarstvoubyka.sk","p8102"
"skupina4@masiarstvoubyka.sk","p8003"
"skupina4@masiarstvoubyka.sk","P8006"
"skupina4@masiarstvoubyka.sk","p8007"
"skupina4@masiarstvoubyka.sk","p8009"
"skupina4@masiarstvoubyka.sk","p8509"
"skupina4@masiarstvoubyka.sk","p8010"
"TG_MFA_Exclude","p8505"
"TG_MFA_Exclude","p6701"
"TG_MFA_Exclude","p6201"
"TG_MFA_Exclude","p8002"
"TG_MFA_Exclude","p6401"
"TG_MFA_Exclude","p7203"
"TG_MFA_Exclude","p7502"
"TG_MFA_Exclude","p6102"
"TG_MFA_Exclude","p4701"
"TG_MFA_Exclude","p8504"
"TG_MFA_Exclude","p8702"
"TG_MFA_Exclude","p4709"
"TG_MFA_Exclude","p7103"
"TG_MFA_Exclude","p4706"
"TG_MFA_Exclude","p8001"
"TG_MFA_Exclude","p7101"
"TG_MFA_Exclude","p1001"
"TG_MFA_Exclude","p8103"
"TG_MFA_Exclude","P6501"
"TG_MFA_Exclude","p7202"
"TG_MFA_Exclude","p4710"
"TG_MFA_Exclude","p7504"
"TG_MFA_Exclude","p8004"
"TG_MFA_Exclude","p6003"
"TG_MFA_Exclude","P5001"
"TG_MFA_Exclude","P8901"
"TG_MFA_Exclude","p7802"
"TG_MFA_Exclude","p1202"
"TG_MFA_Exclude","p8601"
"TG_MFA_Exclude","P4703"
